'*',    74,     1,    32,    37,     3,    32,    -1,     0
'SPENVIS 4.6.14.3582          - 28-Mar-2026 13:58:04'
'PRJ_DEF', -1,'RADIATION'
'PRJ_HDR', -1,'Orbital Radiation(GPS-like)'
'MOD_ABB', -1,'TRP'
'MIS_PLA',  1,    3,' '
'MIS_NTR',  1,    1,' '
'MIS_STA',  1,  27759.00000000,' '
'MIS_END',  1,  28124.00000000,' '
'MIS_DUR',  1, 3.650000E+02,'days'
'ORB_HDR', -1,' '
'ORB_TYP', -1,'GEN'
'ORB_MJD',  1,  27759.00000000,' '
'ORB_YEA',  1, 2026,' '
'ORB_MON',  1,  1,' '
'ORB_DAY',  1,  1,' '
'ORB_HOU',  1,  0,' '
'ORB_MIN',  1,  0,' '
'ORB_SEC',  1,  0.0,' '
'ORB_APO',  1, 2.020000E+04,'km'
'ORB_PER',  1, 2.020000E+04,'km'
'ORB_INC',  1,    55.00,'deg'
'ORB_RAA',  1,     0.00,'deg'
'ORB_ARG',  1,     0.00,'deg'
'ORB_TRA',  1,     0.00,'deg'
'ORB_PRD',  1, 1.197344E+01,'hrs'
'ORB_DUR',  1, 1.000000E+00,'days'
'ORB_TSE',  1,  28124.00000000,' '
'ORB_AXM',  1,  2,' '
'ORB_MJR', -1,'1 Jan 1950, 00:00 UT'
'ORB_GDR', -1,'Astron. J. 66, 15, 1961'
'TRP_MOD', -1,'AE-8 MAX'
'TRP_OMN',  1,  1,' '
'ENERGY', 30,   0.04,   0.10,   0.20,   0.30,   0.40,   0.50,   0.60,   0.70,   0.80,   1.00,   1.25,   1.50,   1.75,   2.00,   2.25,   2.50,   2.75,   3.00,   3.25,   3.50,   3.75,   4.00,   4.25,   4.50,   4.75,   5.00,   5.50,   6.00,   6.50,   7.00,'MeV'
'PS Annotation',  8,  2
'Mission start: 01/01/2026 00:00:00'
 0.05, 0.00, 0.00
'Mission end: 01/01/2027 00:00:00'
 0.95, 0.00, 1.00
'Nr. of segments:   1'
 0.05, 1.50, 0.00
'Duration: 365.00 days'
 0.95, 0.00, 1.00
'PS Annotation', 24,  1
'Segment  1:'
 0.05, 2.00, 0.00
'Apogee: 20200.0 km'
 0.05, 1.50, 0.00
'Perigee: 20200.0 km'
 0.50, 0.00, 0.50
'Inclination: 55.0 deg'
 0.95, 0.00, 1.00
'R.A. Asc. Node: 0.0 deg'
 0.05, 1.50, 0.00
'Arg. Per.: 0.0 deg'
 0.50, 0.00, 0.50
'True Anomaly: 0.0 deg'
 0.95, 0.00, 1.00
'Period: 11.97 hrs'
 0.05, 1.50, 0.00
'Duration: 1.00 days'
 0.50, 0.00, 0.50
'2.00 Orbits'
 0.95, 0.00, 1.00
'Orbit start: 01/01/2026 00:00:00'
 0.05, 1.50, 0.00
'Orbit end: 02/01/2026 00:00:00'
 0.95, 0.00, 1.00
'PS Annotation',  2,  0
'Trapped electron model: AE-8 MAX'
 0.05, 2.00, 0.00
'B','Gauss', 1,'!8B!3'
'L','!8R!3!dE!n', 1,'!8L!3'
'Flux','cm!u-2!n s!u-1!n', 30,'AE-8 MAX Integral Flux >','ENERGY'
  4.4475E-03,  4.4009E+00,  7.6105E+07,  4.8545E+07,  2.9778E+07,  1.9872E+07,  1.4426E+07,  1.0473E+07,  8.2158E+06,  6.4452E+06,  5.2240E+06,  3.6633E+06,  2.2711E+06,  1.4080E+06,  8.7388E+05,  5.4240E+05,  3.3673E+05,  2.0905E+05,  1.2607E+05,  7.6028E+04,  4.4560E+04,  2.6117E+04,  1.4086E+04,  7.5971E+03,  3.7036E+03,  1.8055E+03,  7.3486E+02,  2.9905E+02,  3.3196E+01,  2.1610E+00,  0.0000E+00,  0.0000E+00
  4.5218E-03,  4.4581E+00,  7.5424E+07,  4.8295E+07,  2.9625E+07,  1.9744E+07,  1.4297E+07,  1.0352E+07,  8.1673E+06,  6.4433E+06,  5.2091E+06,  3.5752E+06,  2.1896E+06,  1.3410E+06,  8.2387E+05,  5.0614E+05,  3.1402E+05,  1.9482E+05,  1.1855E+05,  7.2137E+04,  4.1903E+04,  2.4340E+04,  1.3035E+04,  6.9812E+03,  3.3951E+03,  1.6511E+03,  6.6340E+02,  2.6651E+02,  2.7561E+01,  1.5712E+00,  0.0000E+00,  0.0000E+00
  4.6033E-03,  4.5233E+00,  7.4742E+07,  4.7918E+07,  2.9580E+07,  1.9712E+07,  1.4181E+07,  1.0202E+07,  8.0498E+06,  6.3514E+06,  5.1198E+06,  3.4721E+06,  2.0965E+06,  1.2659E+06,  7.6988E+05,  4.6821E+05,  2.8951E+05,  1.7901E+05,  1.0953E+05,  6.7016E+04,  3.8816E+04,  2.2483E+04,  1.1973E+04,  6.3756E+03,  3.0846E+03,  1.4924E+03,  5.9072E+02,  2.3379E+02,  2.2915E+01,  0.0000E+00,  0.0000E+00,  0.0000E+00
  4.6913E-03,  4.5977E+00,  7.4835E+07,  4.7738E+07,  3.0065E+07,  2.0090E+07,  1.4242E+07,  1.0097E+07,  7.8655E+06,  6.1273E+06,  4.9225E+06,  3.3789E+06,  2.0063E+06,  1.1913E+06,  7.1842E+05,  4.3326E+05,  2.6543E+05,  1.6262E+05,  9.9165E+04,  6.0471E+04,  3.5440E+04,  2.0770E+04,  1.1042E+04,  5.8700E+03,  2.8114E+03,  1.3465E+03,  5.2316E+02,  2.0323E+02,  1.8564E+01,  0.0000E+00,  0.0000E+00,  0.0000E+00
  4.7851E-03,  4.6813E+00,  7.2322E+07,  4.6467E+07,  2.9141E+07,  1.9383E+07,  1.3674E+07,  9.6466E+06,  7.4629E+06,  5.7735E+06,  4.6056E+06,  3.1161E+06,  1.8233E+06,  1.0669E+06,  6.4325E+05,  3.8784E+05,  2.3248E+05,  1.3935E+05,  8.5914E+04,  5.2969E+04,  3.1151E+04,  1.8320E+04,  9.6920E+03,  5.1273E+03,  2.4593E+03,  1.1796E+03,  4.4716E+02,  1.6948E+02,  1.4154E+01,  0.0000E+00,  0.0000E+00,  0.0000E+00
  4.8839E-03,  4.7743E+00,  7.0797E+07,  4.5870E+07,  2.8606E+07,  1.8926E+07,  1.3285E+07,  9.3252E+06,  7.1601E+06,  5.4977E+06,  4.3509E+06,  2.8950E+06,  1.6667E+06,  9.5955E+05,  5.7855E+05,  3.4883E+05,  2.0402E+05,  1.1932E+05,  7.4495E+04,  4.6508E+04,  2.7452E+04,  1.6204E+04,  8.5220E+03,  4.4818E+03,  2.1544E+03,  1.0356E+03,  3.7883E+02,  1.3856E+02,  1.0802E+01,  0.0000E+00,  0.0000E+00,  0.0000E+00
  4.9872E-03,  4.8783E+00,  6.6963E+07,  4.3909E+07,  2.6926E+07,  1.7682E+07,  1.2434E+07,  8.7436E+06,  6.5778E+06,  4.9485E+06,  3.8645E+06,  2.5399E+06,  1.4501E+06,  8.2787E+05,  4.9982E+05,  3.0176E+05,  1.7797E+05,  1.0496E+05,  6.4287E+04,  3.9374E+04,  2.3216E+04,  1.3688E+04,  7.2219E+03,  3.8102E+03,  1.8208E+03,  8.7015E+02,  3.0704E+02,  1.0832E+02,  7.6756E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  5.0943E-03,  4.9929E+00,  6.4366E+07,  4.2808E+07,  2.5672E+07,  1.6710E+07,  1.1805E+07,  8.3400E+06,  6.1086E+06,  4.4743E+06,  3.4380E+06,  2.2342E+06,  1.2682E+06,  7.1984E+05,  4.3543E+05,  2.6340E+05,  1.5878E+05,  9.5711E+04,  5.6730E+04,  3.3625E+04,  1.9760E+04,  1.1612E+04,  6.1705E+03,  3.2788E+03,  1.5467E+03,  7.2962E+02,  2.4814E+02,  8.4376E+01,  5.6155E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  5.2045E-03,  5.1197E+00,  5.8647E+07,  3.9185E+07,  2.3341E+07,  1.5038E+07,  1.0479E+07,  7.3026E+06,  5.2930E+06,  3.8365E+06,  2.9207E+06,  1.8675E+06,  1.0542E+06,  5.9514E+05,  3.5725E+05,  2.1445E+05,  1.2865E+05,  7.7174E+04,  4.5799E+04,  2.7179E+04,  1.5863E+04,  9.2582E+03,  4.9304E+03,  2.6256E+03,  1.2455E+03,  5.9082E+02,  1.9328E+02,  6.3215E+01,  2.9600E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  5.3172E-03,  5.2594E+00,  5.2892E+07,  3.5496E+07,  2.1011E+07,  1.3385E+07,  9.1761E+06,  6.2908E+06,  4.5129E+06,  3.2375E+06,  2.4410E+06,  1.5328E+06,  8.6013E+05,  4.8268E+05,  2.8711E+05,  1.7078E+05,  1.0172E+05,  6.0579E+04,  3.6087E+04,  2.1497E+04,  1.2449E+04,  7.2093E+03,  3.8470E+03,  2.0528E+03,  9.8073E+02,  4.6854E+02,  1.4722E+02,  4.6244E+01,  1.4437E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
