'*',    74,     1,    32,    37,     3,    32,    -1,     0
'SPENVIS 4.6.14.3582          - 28-Mar-2026 13:51:06'
'PRJ_DEF', -1,'RADIATION'
'PRJ_HDR', -1,'Orbital Radiation(MEO-Low)'
'MOD_ABB', -1,'TRP'
'MIS_PLA',  1,    3,' '
'MIS_NTR',  1,    1,' '
'MIS_STA',  1,  27759.00000000,' '
'MIS_END',  1,  28124.00000000,' '
'MIS_DUR',  1, 3.650000E+02,'days'
'ORB_HDR', -1,' '
'ORB_TYP', -1,'GEN'
'ORB_MJD',  1,  27759.00000000,' '
'ORB_YEA',  1, 2026,' '
'ORB_MON',  1,  1,' '
'ORB_DAY',  1,  1,' '
'ORB_HOU',  1,  0,' '
'ORB_MIN',  1,  0,' '
'ORB_SEC',  1,  0.0,' '
'ORB_APO',  1, 3.000000E+03,'km'
'ORB_PER',  1, 3.000000E+03,'km'
'ORB_INC',  1,    55.00,'deg'
'ORB_RAA',  1,     0.00,'deg'
'ORB_ARG',  1,     0.00,'deg'
'ORB_TRA',  1,     0.00,'deg'
'ORB_PRD',  1, 2.507759E+00,'hrs'
'ORB_DUR',  1, 1.000000E+00,'days'
'ORB_TSE',  1,  28124.00000000,' '
'ORB_AXM',  1,  2,' '
'ORB_MJR', -1,'1 Jan 1950, 00:00 UT'
'ORB_GDR', -1,'Astron. J. 66, 15, 1961'
'TRP_MOD', -1,'AE-8 MAX'
'TRP_OMN',  1,  1,' '
'ENERGY', 30,   0.04,   0.10,   0.20,   0.30,   0.40,   0.50,   0.60,   0.70,   0.80,   1.00,   1.25,   1.50,   1.75,   2.00,   2.25,   2.50,   2.75,   3.00,   3.25,   3.50,   3.75,   4.00,   4.25,   4.50,   4.75,   5.00,   5.50,   6.00,   6.50,   7.00,'MeV'
'PS Annotation',  8,  2
'Mission start: 01/01/2026 00:00:00'
 0.05, 0.00, 0.00
'Mission end: 01/01/2027 00:00:00'
 0.95, 0.00, 1.00
'Nr. of segments:   1'
 0.05, 1.50, 0.00
'Duration: 365.00 days'
 0.95, 0.00, 1.00
'PS Annotation', 24,  1
'Segment  1:'
 0.05, 2.00, 0.00
'Apogee: 3000.0 km'
 0.05, 1.50, 0.00
'Perigee: 3000.0 km'
 0.50, 0.00, 0.50
'Inclination: 55.0 deg'
 0.95, 0.00, 1.00
'R.A. Asc. Node: 0.0 deg'
 0.05, 1.50, 0.00
'Arg. Per.: 0.0 deg'
 0.50, 0.00, 0.50
'True Anomaly: 0.0 deg'
 0.95, 0.00, 1.00
'Period: 2.51 hrs'
 0.05, 1.50, 0.00
'Duration: 1.00 days'
 0.50, 0.00, 0.50
'9.57 Orbits'
 0.95, 0.00, 1.00
'Orbit start: 01/01/2026 00:00:00'
 0.05, 1.50, 0.00
'Orbit end: 02/01/2026 00:00:00'
 0.95, 0.00, 1.00
'PS Annotation',  2,  0
'Trapped electron model: AE-8 MAX'
 0.05, 2.00, 0.00
'B','Gauss', 1,'!8B!3'
'L','!8R!3!dE!n', 1,'!8L!3'
'Flux','cm!u-2!n s!u-1!n', 30,'AE-8 MAX Integral Flux >','ENERGY'
  1.0182E-01,  1.5721E+00,  1.9083E+08,  1.3550E+08,  6.4448E+07,  2.7664E+07,  1.0716E+07,  4.1514E+06,  2.3886E+06,  1.3743E+06,  8.7872E+05,  4.4363E+05,  2.7504E+05,  1.7052E+05,  1.1330E+05,  7.5287E+04,  4.8991E+04,  3.1880E+04,  1.1646E+04,  4.2541E+03,  1.3204E+03,  4.0982E+02,  1.2710E+02,  3.9420E+01,  1.1574E+01,  3.3983E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  1.0427E-01,  1.6004E+00,  1.8474E+08,  1.2875E+08,  5.8969E+07,  2.4794E+07,  9.5695E+06,  3.6935E+06,  2.0296E+06,  1.1152E+06,  6.9202E+05,  3.3980E+05,  2.0717E+05,  1.2631E+05,  8.2825E+04,  5.4313E+04,  3.4632E+04,  2.2083E+04,  8.0184E+03,  2.9116E+03,  9.3262E+02,  2.9873E+02,  9.5586E+01,  3.0585E+01,  9.0022E+00,  2.6497E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  1.0695E-01,  1.6333E+00,  1.6656E+08,  1.1471E+08,  5.1329E+07,  2.1247E+07,  8.1359E+06,  3.1155E+06,  1.6275E+06,  8.5020E+05,  5.0714E+05,  2.3527E+05,  1.4196E+05,  8.5660E+04,  5.4575E+04,  3.4771E+04,  2.1717E+04,  1.3564E+04,  4.9052E+03,  1.7739E+03,  5.9025E+02,  1.9641E+02,  6.5294E+01,  2.1706E+01,  6.2758E+00,  1.8145E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  1.0981E-01,  1.6712E+00,  1.5154E+08,  1.0300E+08,  4.4983E+07,  1.8314E+07,  6.9505E+06,  2.6379E+06,  1.2999E+06,  6.4054E+05,  3.6506E+05,  1.5861E+05,  9.4570E+04,  5.6386E+04,  3.4748E+04,  2.1413E+04,  1.3058E+04,  7.9633E+03,  2.8662E+03,  1.0316E+03,  3.5866E+02,  1.2469E+02,  4.3282E+01,  1.5024E+01,  4.2556E+00,  1.2055E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  1.1280E-01,  1.7142E+00,  1.3477E+08,  9.0424E+07,  3.8269E+07,  1.5305E+07,  5.7846E+06,  2.1863E+06,  1.0082E+06,  4.6495E+05,  2.5098E+05,  1.0020E+05,  5.8752E+04,  3.4449E+04,  2.0169E+04,  1.1809E+04,  7.0058E+03,  4.1563E+03,  1.5103E+03,  5.4878E+02,  1.9996E+02,  7.2863E+01,  2.6501E+01,  9.6383E+00,  2.6146E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  1.1591E-01,  1.7627E+00,  1.1222E+08,  7.3770E+07,  3.0009E+07,  1.1818E+07,  4.5059E+06,  1.7180E+06,  7.3467E+05,  3.1417E+05,  1.5850E+05,  5.6149E+04,  3.2072E+04,  1.8320E+04,  9.8131E+03,  5.2564E+03,  3.0192E+03,  1.7342E+03,  6.5871E+02,  2.5021E+02,  9.5483E+01,  3.6438E+01,  1.3865E+01,  5.2760E+00,  1.3092E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  1.1907E-01,  1.8166E+00,  9.1781E+07,  5.8726E+07,  2.2756E+07,  8.7914E+06,  3.3861E+06,  1.3042E+06,  5.1698E+05,  2.0493E+05,  9.6088E+04,  2.9561E+04,  1.6190E+04,  8.8674E+03,  4.3760E+03,  2.1595E+03,  1.1935E+03,  6.5961E+02,  2.6131E+02,  1.0352E+02,  4.1585E+01,  1.6705E+01,  6.6282E+00,  2.6299E+00,  1.0435E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  1.2227E-01,  1.8769E+00,  7.1011E+07,  4.3984E+07,  1.5896E+07,  5.9740E+06,  2.3347E+06,  9.1242E+05,  3.3908E+05,  1.2601E+05,  5.4724E+04,  1.4093E+04,  7.1303E+03,  3.6075E+03,  1.6943E+03,  7.9577E+02,  4.1820E+02,  2.1978E+02,  8.9375E+01,  3.6345E+01,  1.5446E+01,  6.5641E+00,  2.8443E+00,  1.2325E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  1.2546E-01,  1.9428E+00,  5.7773E+07,  3.4798E+07,  1.1679E+07,  4.2050E+06,  1.6242E+06,  6.2731E+05,  2.2276E+05,  7.9104E+04,  3.2585E+04,  7.4396E+03,  3.4008E+03,  1.5546E+03,  7.3370E+02,  3.4627E+02,  1.7495E+02,  8.8395E+01,  3.4784E+01,  1.3688E+01,  5.9633E+00,  2.5980E+00,  1.1319E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  1.2861E-01,  2.0154E+00,  4.7440E+07,  2.7942E+07,  8.6191E+06,  2.9338E+06,  1.1020E+06,  4.1390E+05,  1.4233E+05,  4.8940E+04,  1.9506E+04,  4.1635E+03,  1.7169E+03,  7.0803E+02,  3.4352E+02,  1.6667E+02,  8.1404E+01,  3.9760E+01,  1.4713E+01,  5.4443E+00,  2.0146E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
