'*',    74,     1,    32,    37,     3,    31,    -1,     0
'SPENVIS 4.6.14.3582          - 28-Mar-2026 13:58:04'
'PRJ_DEF', -1,'RADIATION'
'PRJ_HDR', -1,'Orbital Radiation(GPS-like)'
'MOD_ABB', -1,'TRP'
'MIS_PLA',  1,    3,' '
'MIS_NTR',  1,    1,' '
'MIS_STA',  1,  27759.00000000,' '
'MIS_END',  1,  28124.00000000,' '
'MIS_DUR',  1, 3.650000E+02,'days'
'ORB_HDR', -1,' '
'ORB_TYP', -1,'GEN'
'ORB_MJD',  1,  27759.00000000,' '
'ORB_YEA',  1, 2026,' '
'ORB_MON',  1,  1,' '
'ORB_DAY',  1,  1,' '
'ORB_HOU',  1,  0,' '
'ORB_MIN',  1,  0,' '
'ORB_SEC',  1,  0.0,' '
'ORB_APO',  1, 2.020000E+04,'km'
'ORB_PER',  1, 2.020000E+04,'km'
'ORB_INC',  1,    55.00,'deg'
'ORB_RAA',  1,     0.00,'deg'
'ORB_ARG',  1,     0.00,'deg'
'ORB_TRA',  1,     0.00,'deg'
'ORB_PRD',  1, 1.197344E+01,'hrs'
'ORB_DUR',  1, 1.000000E+00,'days'
'ORB_TSE',  1,  28124.00000000,' '
'ORB_AXM',  1,  2,' '
'ORB_MJR', -1,'1 Jan 1950, 00:00 UT'
'ORB_GDR', -1,'Astron. J. 66, 15, 1961'
'TRP_MOD', -1,'AP-8 MAX'
'TRP_OMN',  1,  1,' '
'ENERGY', 29,   0.10,   0.15,   0.20,   0.30,   0.40,   0.50,   0.60,   0.70,   1.00,   1.50,   2.00,   3.00,   4.00,   5.00,   6.00,   7.00,  10.00,  15.00,  20.00,  30.00,  40.00,  50.00,  60.00,  70.00, 100.00, 150.00, 200.00, 300.00, 400.00,'MeV'
'PS Annotation',  8,  2
'Mission start: 01/01/2026 00:00:00'
 0.05, 0.00, 0.00
'Mission end: 01/01/2027 00:00:00'
 0.95, 0.00, 1.00
'Nr. of segments:   1'
 0.05, 1.50, 0.00
'Duration: 365.00 days'
 0.95, 0.00, 1.00
'PS Annotation', 24,  1
'Segment  1:'
 0.05, 2.00, 0.00
'Apogee: 20200.0 km'
 0.05, 1.50, 0.00
'Perigee: 20200.0 km'
 0.50, 0.00, 0.50
'Inclination: 55.0 deg'
 0.95, 0.00, 1.00
'R.A. Asc. Node: 0.0 deg'
 0.05, 1.50, 0.00
'Arg. Per.: 0.0 deg'
 0.50, 0.00, 0.50
'True Anomaly: 0.0 deg'
 0.95, 0.00, 1.00
'Period: 11.97 hrs'
 0.05, 1.50, 0.00
'Duration: 1.00 days'
 0.50, 0.00, 0.50
'2.00 Orbits'
 0.95, 0.00, 1.00
'Orbit start: 01/01/2026 00:00:00'
 0.05, 1.50, 0.00
'Orbit end: 02/01/2026 00:00:00'
 0.95, 0.00, 1.00
'PS Annotation',  2,  0
'Trapped proton model: AP-8 MAX'
 0.05, 2.00, 0.00
'B','Gauss', 1,'!8B!3'
'L','!8R!3!dE!n', 1,'!8L!3'
'Flux','cm!u-2!n s!u-1!n', 29,'AP-8 MAX Integral Flux >','ENERGY'
  4.4077E-03,  4.4020E+00,  6.5165E+07,  4.6697E+07,  3.3463E+07,  1.8394E+07,  1.0111E+07,  5.5641E+06,  3.0619E+06,  1.7868E+06,  3.1825E+05,  2.3679E+04,  1.7618E+03,  6.5497E+01,  2.4350E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  4.4806E-03,  4.4574E+00,  5.8239E+07,  4.1483E+07,  2.9548E+07,  1.5669E+07,  8.3087E+06,  4.4177E+06,  2.3489E+06,  1.3339E+06,  2.1580E+05,  1.4663E+04,  9.9634E+02,  4.4291E+01,  1.9689E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  4.5607E-03,  4.5212E+00,  5.0451E+07,  3.5568E+07,  2.5075E+07,  1.2880E+07,  6.6163E+06,  3.4476E+06,  1.7964E+06,  9.7022E+05,  1.3793E+05,  8.1981E+03,  4.8726E+02,  1.7213E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  4.6473E-03,  4.5938E+00,  4.0543E+07,  2.8122E+07,  1.9506E+07,  9.8847E+06,  5.0091E+06,  2.5503E+06,  1.2985E+06,  6.4601E+05,  7.8747E+04,  4.1290E+03,  2.1649E+02,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  4.7399E-03,  4.6757E+00,  3.4588E+07,  2.3586E+07,  1.6083E+07,  7.7242E+06,  3.7098E+06,  1.7267E+06,  8.0368E+05,  3.8288E+05,  3.9839E+04,  1.7947E+03,  8.0849E+01,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  4.8376E-03,  4.7668E+00,  3.0012E+07,  1.9456E+07,  1.2612E+07,  5.6864E+06,  2.5637E+06,  1.1181E+06,  4.8763E+05,  2.1875E+05,  1.9262E+04,  7.1969E+02,  2.6891E+01,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  4.9399E-03,  4.8688E+00,  2.5336E+07,  1.5874E+07,  9.9450E+06,  4.2202E+06,  1.7909E+06,  7.4970E+05,  3.1384E+05,  1.3354E+05,  1.0308E+04,  3.0827E+02,  9.2188E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  5.0461E-03,  4.9814E+00,  2.1231E+07,  1.2884E+07,  7.8191E+06,  3.0439E+06,  1.1850E+06,  4.5340E+05,  1.7349E+05,  7.0505E+04,  4.4610E+03,  1.1002E+02,  2.7134E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  5.1555E-03,  5.1057E+00,  1.7126E+07,  1.0148E+07,  6.0126E+06,  2.2519E+06,  8.4342E+05,  3.1148E+05,  1.1503E+05,  4.2372E+04,  1.7547E+03,  7.4363E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  5.2676E-03,  5.2430E+00,  1.3988E+07,  7.6199E+06,  4.1509E+06,  1.4819E+06,  5.2903E+05,  1.8630E+05,  6.5607E+04,  2.3206E+04,  9.6935E+02,  4.6458E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  5.3816E-03,  5.3933E+00,  1.1899E+07,  6.2933E+06,  3.3286E+06,  1.1043E+06,  3.6634E+05,  1.2819E+05,  4.4853E+04,  1.4816E+04,  5.3806E+02,  2.1561E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  5.4971E-03,  5.5585E+00,  8.5960E+06,  4.5992E+06,  2.4607E+06,  7.6425E+05,  2.3736E+05,  7.9395E+04,  2.6557E+04,  8.5219E+03,  2.8094E+02,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  5.6134E-03,  5.7396E+00,  6.4508E+06,  3.4024E+06,  1.7946E+06,  5.5652E+05,  1.7259E+05,  5.6268E+04,  1.8345E+04,  5.7525E+03,  1.7830E+02,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  5.7301E-03,  5.9369E+00,  5.0485E+06,  2.4961E+06,  1.2341E+06,  3.6997E+05,  1.1091E+05,  3.4609E+04,  1.0799E+04,  3.3163E+03,  1.0886E+02,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  5.8467E-03,  6.1537E+00,  3.5551E+06,  1.6921E+06,  8.0534E+05,  2.4228E+05,  7.2885E+04,  2.1934E+04,  6.6010E+03,  1.9928E+03,  5.9733E+01,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  5.9627E-03,  6.3890E+00,  2.5088E+06,  1.1573E+06,  5.3389E+05,  1.5977E+05,  4.7813E+04,  1.4463E+04,  4.3747E+03,  1.3603E+03,  4.1496E+01,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  6.0777E-03,  6.6476E+00,  1.3785E+06,  6.0233E+05,  2.6318E+05,  8.4167E+04,  2.6917E+04,  7.8774E+03,  2.3054E+03,  7.0123E+02,  2.4738E+01,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
