'*',    74,     1,    32,    37,     3,    31,    -1,     0
'SPENVIS 4.6.14.3582          - 28-Mar-2026 13:51:06'
'PRJ_DEF', -1,'RADIATION'
'PRJ_HDR', -1,'Orbital Radiation(MEO-Low)'
'MOD_ABB', -1,'TRP'
'MIS_PLA',  1,    3,' '
'MIS_NTR',  1,    1,' '
'MIS_STA',  1,  27759.00000000,' '
'MIS_END',  1,  28124.00000000,' '
'MIS_DUR',  1, 3.650000E+02,'days'
'ORB_HDR', -1,' '
'ORB_TYP', -1,'GEN'
'ORB_MJD',  1,  27759.00000000,' '
'ORB_YEA',  1, 2026,' '
'ORB_MON',  1,  1,' '
'ORB_DAY',  1,  1,' '
'ORB_HOU',  1,  0,' '
'ORB_MIN',  1,  0,' '
'ORB_SEC',  1,  0.0,' '
'ORB_APO',  1, 3.000000E+03,'km'
'ORB_PER',  1, 3.000000E+03,'km'
'ORB_INC',  1,    55.00,'deg'
'ORB_RAA',  1,     0.00,'deg'
'ORB_ARG',  1,     0.00,'deg'
'ORB_TRA',  1,     0.00,'deg'
'ORB_PRD',  1, 2.507759E+00,'hrs'
'ORB_DUR',  1, 1.000000E+00,'days'
'ORB_TSE',  1,  28124.00000000,' '
'ORB_AXM',  1,  2,' '
'ORB_MJR', -1,'1 Jan 1950, 00:00 UT'
'ORB_GDR', -1,'Astron. J. 66, 15, 1961'
'TRP_MOD', -1,'AP-8 MAX'
'TRP_OMN',  1,  1,' '
'ENERGY', 29,   0.10,   0.15,   0.20,   0.30,   0.40,   0.50,   0.60,   0.70,   1.00,   1.50,   2.00,   3.00,   4.00,   5.00,   6.00,   7.00,  10.00,  15.00,  20.00,  30.00,  40.00,  50.00,  60.00,  70.00, 100.00, 150.00, 200.00, 300.00, 400.00,'MeV'
'PS Annotation',  8,  2
'Mission start: 01/01/2026 00:00:00'
 0.05, 0.00, 0.00
'Mission end: 01/01/2027 00:00:00'
 0.95, 0.00, 1.00
'Nr. of segments:   1'
 0.05, 1.50, 0.00
'Duration: 365.00 days'
 0.95, 0.00, 1.00
'PS Annotation', 24,  1
'Segment  1:'
 0.05, 2.00, 0.00
'Apogee: 3000.0 km'
 0.05, 1.50, 0.00
'Perigee: 3000.0 km'
 0.50, 0.00, 0.50
'Inclination: 55.0 deg'
 0.95, 0.00, 1.00
'R.A. Asc. Node: 0.0 deg'
 0.05, 1.50, 0.00
'Arg. Per.: 0.0 deg'
 0.50, 0.00, 0.50
'True Anomaly: 0.0 deg'
 0.95, 0.00, 1.00
'Period: 2.51 hrs'
 0.05, 1.50, 0.00
'Duration: 1.00 days'
 0.50, 0.00, 0.50
'9.57 Orbits'
 0.95, 0.00, 1.00
'Orbit start: 01/01/2026 00:00:00'
 0.05, 1.50, 0.00
'Orbit end: 02/01/2026 00:00:00'
 0.95, 0.00, 1.00
'PS Annotation',  2,  0
'Trapped proton model: AP-8 MAX'
 0.05, 2.00, 0.00
'B','Gauss', 1,'!8B!3'
'L','!8R!3!dE!n', 1,'!8L!3'
'Flux','cm!u-2!n s!u-1!n', 29,'AP-8 MAX Integral Flux >','ENERGY'
  1.0057E-01,  1.5714E+00,  3.1211E+05,  3.1138E+05,  3.1066E+05,  3.0840E+05,  3.0616E+05,  3.0412E+05,  3.0209E+05,  3.0020E+05,  2.9475E+05,  2.8480E+05,  2.7519E+05,  2.5637E+05,  2.3884E+05,  2.1470E+05,  1.9300E+05,  1.6582E+05,  1.0594E+05,  5.0848E+04,  3.1722E+04,  2.0283E+04,  1.6432E+04,  1.3312E+04,  1.1360E+04,  9.8076E+03,  6.4044E+03,  3.3111E+03,  1.7118E+03,  5.8463E+02,  1.9967E+02
  1.0297E-01,  1.5985E+00,  2.8774E+05,  2.8715E+05,  2.8656E+05,  2.8435E+05,  2.8216E+05,  2.8044E+05,  2.7874E+05,  2.7676E+05,  2.7139E+05,  2.6209E+05,  2.5310E+05,  2.3570E+05,  2.1950E+05,  1.9658E+05,  1.7606E+05,  1.5030E+05,  9.4385E+04,  4.3207E+04,  2.6394E+04,  1.6830E+04,  1.3692E+04,  1.1139E+04,  9.3834E+03,  7.9893E+03,  5.0487E+03,  2.5162E+03,  1.2541E+03,  4.1295E+02,  1.3598E+02
  1.0559E-01,  1.6304E+00,  2.6777E+05,  2.6660E+05,  2.6543E+05,  2.6342E+05,  2.6143E+05,  2.5906E+05,  2.5672E+05,  2.5433E+05,  2.4692E+05,  2.3599E+05,  2.2553E+05,  2.0590E+05,  1.8798E+05,  1.6361E+05,  1.4240E+05,  1.1981E+05,  7.1483E+04,  3.2563E+04,  1.9952E+04,  1.2550E+04,  1.0081E+04,  8.0968E+03,  6.8226E+03,  5.7928E+03,  3.6054E+03,  1.7343E+03,  8.3429E+02,  2.5932E+02,  8.0603E+01
  1.0841E-01,  1.6674E+00,  2.5308E+05,  2.5172E+05,  2.5037E+05,  2.4783E+05,  2.4532E+05,  2.4274E+05,  2.4019E+05,  2.3736E+05,  2.2934E+05,  2.1715E+05,  2.0562E+05,  1.8261E+05,  1.6217E+05,  1.3756E+05,  1.1668E+05,  9.6297E+04,  5.3619E+04,  2.4206E+04,  1.4845E+04,  9.0703E+03,  7.1583E+03,  5.6493E+03,  4.7342E+03,  4.0045E+03,  2.4485E+03,  1.1332E+03,  5.2451E+02,  1.5082E+02,  4.3366E+01
  1.1139E-01,  1.7093E+00,  2.4178E+05,  2.4027E+05,  2.3877E+05,  2.3547E+05,  2.3222E+05,  2.2914E+05,  2.2610E+05,  2.2288E+05,  2.1402E+05,  2.0079E+05,  1.8838E+05,  1.6234E+05,  1.3989E+05,  1.1569E+05,  9.5665E+04,  7.7342E+04,  4.0467E+04,  1.7875E+04,  1.0919E+04,  6.4432E+03,  4.9694E+03,  3.8326E+03,  3.1726E+03,  2.6606E+03,  1.5849E+03,  7.0319E+02,  3.1199E+02,  8.2659E+01,  2.1900E+01
  1.1449E-01,  1.7568E+00,  2.1545E+05,  2.1382E+05,  2.1220E+05,  2.0817E+05,  2.0422E+05,  2.0053E+05,  1.9691E+05,  1.9349E+05,  1.8346E+05,  1.7101E+05,  1.5941E+05,  1.3597E+05,  1.1597E+05,  9.3256E+04,  7.4994E+04,  5.9634E+04,  3.0608E+04,  1.3222E+04,  7.8438E+03,  4.5123E+03,  3.3913E+03,  2.5488E+03,  2.0400E+03,  1.6687E+03,  9.3921E+02,  3.9525E+02,  1.6633E+02,  3.9223E+01,  9.2492E+00
  1.1767E-01,  1.8098E+00,  1.9104E+05,  1.8945E+05,  1.8787E+05,  1.8389E+05,  1.7999E+05,  1.7654E+05,  1.7316E+05,  1.6921E+05,  1.5909E+05,  1.4762E+05,  1.3697E+05,  1.1601E+05,  9.8260E+04,  7.6508E+04,  5.9571E+04,  4.6431E+04,  2.3297E+04,  9.6433E+03,  5.6441E+03,  3.0997E+03,  2.2427E+03,  1.6227E+03,  1.2531E+03,  9.9621E+02,  5.2338E+02,  2.0546E+02,  8.0658E+01,  1.6527E+01,  3.3865E+00
  1.2089E-01,  1.8688E+00,  1.9778E+05,  1.9497E+05,  1.9221E+05,  1.8644E+05,  1.8084E+05,  1.7598E+05,  1.7125E+05,  1.6633E+05,  1.5384E+05,  1.3989E+05,  1.2721E+05,  1.0397E+05,  8.4967E+04,  6.3755E+04,  4.7839E+04,  3.6198E+04,  1.6615E+04,  6.9411E+03,  4.0490E+03,  2.0666E+03,  1.4061E+03,  9.5673E+02,  7.2219E+02,  5.5803E+02,  2.7198E+02,  9.8822E+01,  3.5907E+01,  7.5746E+00,  1.5979E+00
  1.2413E-01,  1.9338E+00,  2.1763E+05,  2.1354E+05,  2.0952E+05,  2.0178E+05,  1.9432E+05,  1.8749E+05,  1.8091E+05,  1.7540E+05,  1.6056E+05,  1.3887E+05,  1.2011E+05,  9.2952E+04,  7.1933E+04,  5.1982E+04,  3.7564E+04,  2.7494E+04,  1.2074E+04,  5.0442E+03,  2.8639E+03,  1.3809E+03,  8.8869E+02,  5.7194E+02,  4.1443E+02,  3.1196E+02,  1.4299E+02,  4.9729E+01,  1.7295E+01,  2.0918E+00,  0.0000E+00
  1.2734E-01,  2.0054E+00,  2.5720E+05,  2.5101E+05,  2.4496E+05,  2.3198E+05,  2.1969E+05,  2.0882E+05,  1.9849E+05,  1.9174E+05,  1.7213E+05,  1.4470E+05,  1.2163E+05,  8.6374E+04,  6.1335E+04,  4.2546E+04,  2.9512E+04,  2.1070E+04,  9.0668E+03,  3.7197E+03,  2.0249E+03,  9.2196E+02,  5.7395E+02,  3.5730E+02,  2.4595E+02,  1.8052E+02,  7.7599E+01,  2.6883E+01,  9.3132E+00,  1.1178E+00,  0.0000E+00
