'*',    74,     1,    32,    37,     3,    32,    -1,     0
'SPENVIS 4.6.14.3582          - 28-Mar-2026 17:46:00'
'PRJ_DEF', -1,'RADIATION'
'PRJ_HDR', -1,'Orbital Radiation(SSO)'
'MOD_ABB', -1,'TRP'
'MIS_PLA',  1,    3,' '
'MIS_NTR',  1,    1,' '
'MIS_STA',  1,  27759.00000000,' '
'MIS_END',  1,  28124.00000000,' '
'MIS_DUR',  1, 3.650000E+02,'days'
'ORB_HDR', -1,' '
'ORB_TYP', -1,'GEN'
'ORB_MJD',  1,  27759.00000000,' '
'ORB_YEA',  1, 2026,' '
'ORB_MON',  1,  1,' '
'ORB_DAY',  1,  1,' '
'ORB_HOU',  1,  0,' '
'ORB_MIN',  1,  0,' '
'ORB_SEC',  1,  0.0,' '
'ORB_APO',  1, 3.578600E+04,'km'
'ORB_PER',  1, 3.578600E+04,'km'
'ORB_INC',  1,     0.00,'deg'
'ORB_RAA',  1,     0.00,'deg'
'ORB_ARG',  1,     0.00,'deg'
'ORB_TRA',  1,     0.00,'deg'
'ORB_PRD',  1, 2.392828E+01,'hrs'
'ORB_DUR',  1, 1.000000E+00,'days'
'ORB_TSE',  1,  28124.00000000,' '
'ORB_AXM',  1,  2,' '
'ORB_MJR', -1,'1 Jan 1950, 00:00 UT'
'ORB_GDR', -1,'Astron. J. 66, 15, 1961'
'TRP_MOD', -1,'AE-8 MIN'
'TRP_OMN',  1,  1,' '
'ENERGY', 30,   0.04,   0.10,   0.20,   0.30,   0.40,   0.50,   0.60,   0.70,   0.80,   1.00,   1.25,   1.50,   1.75,   2.00,   2.25,   2.50,   2.75,   3.00,   3.25,   3.50,   3.75,   4.00,   4.25,   4.50,   4.75,   5.00,   5.50,   6.00,   6.50,   7.00,'MeV'
'PS Annotation',  8,  2
'Mission start: 01/01/2026 00:00:00'
 0.05, 0.00, 0.00
'Mission end: 01/01/2027 00:00:00'
 0.95, 0.00, 1.00
'Nr. of segments:   1'
 0.05, 1.50, 0.00
'Duration: 365.00 days'
 0.95, 0.00, 1.00
'PS Annotation', 24,  1
'Segment  1:'
 0.05, 2.00, 0.00
'Apogee: 35786.0 km'
 0.05, 1.50, 0.00
'Perigee: 35786.0 km'
 0.50, 0.00, 0.50
'Inclination: 0.0 deg'
 0.95, 0.00, 1.00
'R.A. Asc. Node: 0.0 deg'
 0.05, 1.50, 0.00
'Arg. Per.: 0.0 deg'
 0.50, 0.00, 0.50
'True Anomaly: 0.0 deg'
 0.95, 0.00, 1.00
'Period: 23.93 hrs'
 0.05, 1.50, 0.00
'Duration: 1.00 days'
 0.50, 0.00, 0.50
'1.00 Orbits'
 0.95, 0.00, 1.00
'Orbit start: 01/01/2026 00:00:00'
 0.05, 1.50, 0.00
'Orbit end: 02/01/2026 00:00:00'
 0.95, 0.00, 1.00
'PS Annotation',  2,  0
'Trapped electron model: AE-8 MIN'
 0.05, 2.00, 0.00
'B','Gauss', 1,'!8B!3'
'L','!8R!3!dE!n', 1,'!8L!3'
'Flux','cm!u-2!n s!u-1!n', 30,'AE-8 MIN Integral Flux >','ENERGY'
  1.1182E-03,  6.9515E+00,  3.7067E+07,  2.3660E+07,  1.1158E+07,  5.7745E+06,  3.2794E+06,  1.8624E+06,  1.1778E+06,  7.4485E+05,  5.0500E+05,  2.6679E+05,  1.2792E+05,  6.1333E+04,  3.3192E+04,  1.7963E+04,  8.7751E+03,  4.2868E+03,  2.6523E+03,  1.6411E+03,  1.0558E+03,  6.7929E+02,  4.0519E+02,  2.4169E+02,  1.2549E+02,  6.5155E+01,  9.5642E+00,  1.4039E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  1.1182E-03,  6.9515E+00,  3.7067E+07,  2.3660E+07,  1.1158E+07,  5.7745E+06,  3.2794E+06,  1.8624E+06,  1.1778E+06,  7.4485E+05,  5.0499E+05,  2.6679E+05,  1.2792E+05,  6.1332E+04,  3.3192E+04,  1.7962E+04,  8.7750E+03,  4.2868E+03,  2.6523E+03,  1.6410E+03,  1.0558E+03,  6.7929E+02,  4.0518E+02,  2.4168E+02,  1.2549E+02,  6.5155E+01,  9.5641E+00,  1.4039E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  1.1182E-03,  6.9515E+00,  3.7067E+07,  2.3660E+07,  1.1158E+07,  5.7745E+06,  3.2794E+06,  1.8624E+06,  1.1778E+06,  7.4485E+05,  5.0499E+05,  2.6679E+05,  1.2792E+05,  6.1332E+04,  3.3191E+04,  1.7962E+04,  8.7750E+03,  4.2868E+03,  2.6523E+03,  1.6410E+03,  1.0558E+03,  6.7929E+02,  4.0518E+02,  2.4168E+02,  1.2549E+02,  6.5154E+01,  9.5641E+00,  1.4039E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  1.1182E-03,  6.9515E+00,  3.7067E+07,  2.3660E+07,  1.1158E+07,  5.7745E+06,  3.2794E+06,  1.8624E+06,  1.1778E+06,  7.4485E+05,  5.0499E+05,  2.6678E+05,  1.2792E+05,  6.1332E+04,  3.3191E+04,  1.7962E+04,  8.7750E+03,  4.2867E+03,  2.6523E+03,  1.6410E+03,  1.0558E+03,  6.7929E+02,  4.0518E+02,  2.4168E+02,  1.2549E+02,  6.5154E+01,  9.5641E+00,  1.4039E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  1.1182E-03,  6.9515E+00,  3.7067E+07,  2.3660E+07,  1.1158E+07,  5.7744E+06,  3.2794E+06,  1.8624E+06,  1.1778E+06,  7.4485E+05,  5.0499E+05,  2.6678E+05,  1.2792E+05,  6.1332E+04,  3.3191E+04,  1.7962E+04,  8.7750E+03,  4.2867E+03,  2.6523E+03,  1.6410E+03,  1.0558E+03,  6.7929E+02,  4.0518E+02,  2.4168E+02,  1.2549E+02,  6.5154E+01,  9.5641E+00,  1.4039E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  1.1182E-03,  6.9515E+00,  3.7067E+07,  2.3660E+07,  1.1158E+07,  5.7744E+06,  3.2794E+06,  1.8624E+06,  1.1778E+06,  7.4485E+05,  5.0499E+05,  2.6678E+05,  1.2792E+05,  6.1332E+04,  3.3191E+04,  1.7962E+04,  8.7749E+03,  4.2867E+03,  2.6523E+03,  1.6410E+03,  1.0558E+03,  6.7929E+02,  4.0518E+02,  2.4168E+02,  1.2549E+02,  6.5154E+01,  9.5640E+00,  1.4039E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  1.1182E-03,  6.9515E+00,  3.7067E+07,  2.3660E+07,  1.1158E+07,  5.7744E+06,  3.2794E+06,  1.8624E+06,  1.1778E+06,  7.4484E+05,  5.0499E+05,  2.6678E+05,  1.2792E+05,  6.1332E+04,  3.3191E+04,  1.7962E+04,  8.7749E+03,  4.2867E+03,  2.6523E+03,  1.6410E+03,  1.0558E+03,  6.7928E+02,  4.0518E+02,  2.4168E+02,  1.2549E+02,  6.5154E+01,  9.5640E+00,  1.4039E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  1.1182E-03,  6.9515E+00,  3.7067E+07,  2.3660E+07,  1.1158E+07,  5.7744E+06,  3.2794E+06,  1.8624E+06,  1.1778E+06,  7.4484E+05,  5.0499E+05,  2.6678E+05,  1.2792E+05,  6.1332E+04,  3.3191E+04,  1.7962E+04,  8.7749E+03,  4.2867E+03,  2.6523E+03,  1.6410E+03,  1.0558E+03,  6.7928E+02,  4.0518E+02,  2.4168E+02,  1.2549E+02,  6.5154E+01,  9.5640E+00,  1.4039E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  1.1182E-03,  6.9515E+00,  3.7067E+07,  2.3660E+07,  1.1158E+07,  5.7744E+06,  3.2794E+06,  1.8624E+06,  1.1778E+06,  7.4484E+05,  5.0499E+05,  2.6678E+05,  1.2792E+05,  6.1332E+04,  3.3191E+04,  1.7962E+04,  8.7749E+03,  4.2867E+03,  2.6523E+03,  1.6410E+03,  1.0558E+03,  6.7928E+02,  4.0518E+02,  2.4168E+02,  1.2549E+02,  6.5154E+01,  9.5640E+00,  1.4039E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  1.1182E-03,  6.9515E+00,  3.7067E+07,  2.3660E+07,  1.1158E+07,  5.7744E+06,  3.2794E+06,  1.8624E+06,  1.1778E+06,  7.4484E+05,  5.0499E+05,  2.6678E+05,  1.2792E+05,  6.1332E+04,  3.3191E+04,  1.7962E+04,  8.7749E+03,  4.2867E+03,  2.6523E+03,  1.6410E+03,  1.0558E+03,  6.7928E+02,  4.0518E+02,  2.4168E+02,  1.2549E+02,  6.5154E+01,  9.5640E+00,  1.4039E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
