'*',    74,     1,    32,    37,     3,    32,    -1,     0
'SPENVIS 4.6.14.3582          - 28-Mar-2026 17:42:28'
'PRJ_DEF', -1,'RADIATION'
'PRJ_HDR', -1,'Orbital Radiation(SSO)'
'MOD_ABB', -1,'TRP'
'MIS_PLA',  1,    3,' '
'MIS_NTR',  1,    1,' '
'MIS_STA',  1,  27759.00000000,' '
'MIS_END',  1,  28124.00000000,' '
'MIS_DUR',  1, 3.650000E+02,'days'
'ORB_HDR', -1,' '
'ORB_TYP', -1,'GEN'
'ORB_MJD',  1,  27759.00000000,' '
'ORB_YEA',  1, 2026,' '
'ORB_MON',  1,  1,' '
'ORB_DAY',  1,  1,' '
'ORB_HOU',  1,  0,' '
'ORB_MIN',  1,  0,' '
'ORB_SEC',  1,  0.0,' '
'ORB_APO',  1, 2.020000E+04,'km'
'ORB_PER',  1, 2.020000E+04,'km'
'ORB_INC',  1,    55.00,'deg'
'ORB_RAA',  1,     0.00,'deg'
'ORB_ARG',  1,     0.00,'deg'
'ORB_TRA',  1,     0.00,'deg'
'ORB_PRD',  1, 1.197344E+01,'hrs'
'ORB_DUR',  1, 1.000000E+00,'days'
'ORB_TSE',  1,  28124.00000000,' '
'ORB_AXM',  1,  2,' '
'ORB_MJR', -1,'1 Jan 1950, 00:00 UT'
'ORB_GDR', -1,'Astron. J. 66, 15, 1961'
'TRP_MOD', -1,'AE-8 MIN'
'TRP_OMN',  1,  1,' '
'ENERGY', 30,   0.04,   0.10,   0.20,   0.30,   0.40,   0.50,   0.60,   0.70,   0.80,   1.00,   1.25,   1.50,   1.75,   2.00,   2.25,   2.50,   2.75,   3.00,   3.25,   3.50,   3.75,   4.00,   4.25,   4.50,   4.75,   5.00,   5.50,   6.00,   6.50,   7.00,'MeV'
'PS Annotation',  8,  2
'Mission start: 01/01/2026 00:00:00'
 0.05, 0.00, 0.00
'Mission end: 01/01/2027 00:00:00'
 0.95, 0.00, 1.00
'Nr. of segments:   1'
 0.05, 1.50, 0.00
'Duration: 365.00 days'
 0.95, 0.00, 1.00
'PS Annotation', 24,  1
'Segment  1:'
 0.05, 2.00, 0.00
'Apogee: 20200.0 km'
 0.05, 1.50, 0.00
'Perigee: 20200.0 km'
 0.50, 0.00, 0.50
'Inclination: 55.0 deg'
 0.95, 0.00, 1.00
'R.A. Asc. Node: 0.0 deg'
 0.05, 1.50, 0.00
'Arg. Per.: 0.0 deg'
 0.50, 0.00, 0.50
'True Anomaly: 0.0 deg'
 0.95, 0.00, 1.00
'Period: 11.97 hrs'
 0.05, 1.50, 0.00
'Duration: 1.00 days'
 0.50, 0.00, 0.50
'2.00 Orbits'
 0.95, 0.00, 1.00
'Orbit start: 01/01/2026 00:00:00'
 0.05, 1.50, 0.00
'Orbit end: 02/01/2026 00:00:00'
 0.95, 0.00, 1.00
'PS Annotation',  2,  0
'Trapped electron model: AE-8 MIN'
 0.05, 2.00, 0.00
'B','Gauss', 1,'!8B!3'
'L','!8R!3!dE!n', 1,'!8L!3'
'Flux','cm!u-2!n s!u-1!n', 30,'AE-8 MIN Integral Flux >','ENERGY'
  4.4475E-03,  4.4009E+00,  3.1989E+07,  2.2896E+07,  1.4264E+07,  9.7788E+06,  7.3773E+06,  5.5655E+06,  4.4776E+06,  3.6023E+06,  3.0156E+06,  2.2880E+06,  1.4904E+06,  9.7083E+05,  6.2882E+05,  4.0729E+05,  2.6982E+05,  1.7875E+05,  1.1060E+05,  6.8436E+04,  4.1898E+04,  2.5651E+04,  1.3960E+04,  7.5971E+03,  3.7036E+03,  1.8055E+03,  7.3486E+02,  2.9905E+02,  3.3196E+01,  2.1610E+00,  0.0000E+00,  0.0000E+00
  4.5218E-03,  4.4581E+00,  3.3411E+07,  2.4566E+07,  1.5621E+07,  1.0753E+07,  8.0131E+06,  5.9714E+06,  4.8362E+06,  3.9168E+06,  3.2587E+06,  2.3805E+06,  1.5329E+06,  9.8709E+05,  6.3041E+05,  4.0261E+05,  2.6366E+05,  1.7267E+05,  1.0698E+05,  6.6277E+04,  3.9779E+04,  2.3875E+04,  1.2910E+04,  6.9812E+03,  3.3951E+03,  1.6511E+03,  6.6340E+02,  2.6651E+02,  2.7561E+01,  1.5712E+00,  0.0000E+00,  0.0000E+00
  4.6033E-03,  4.5233E+00,  3.5068E+07,  2.6118E+07,  1.7032E+07,  1.1812E+07,  8.7123E+06,  6.4260E+06,  5.2067E+06,  4.2188E+06,  3.4880E+06,  2.4824E+06,  1.5751E+06,  9.9937E+05,  6.2705E+05,  3.9344E+05,  2.5509E+05,  1.6539E+05,  1.0251E+05,  6.3534E+04,  3.7503E+04,  2.2137E+04,  1.1880E+04,  6.3756E+03,  3.0846E+03,  1.4924E+03,  5.9072E+02,  2.3379E+02,  2.2915E+01,  0.0000E+00,  0.0000E+00,  0.0000E+00
  4.6913E-03,  4.5977E+00,  3.7304E+07,  2.7183E+07,  1.8311E+07,  1.2881E+07,  9.4628E+06,  6.9515E+06,  5.5536E+06,  4.4369E+06,  3.6474E+06,  2.6098E+06,  1.6229E+06,  1.0092E+06,  6.1848E+05,  3.7904E+05,  2.4452E+05,  1.5774E+05,  9.7603E+04,  6.0393E+04,  3.5410E+04,  2.0762E+04,  1.1040E+04,  5.8700E+03,  2.8114E+03,  1.3465E+03,  5.2316E+02,  2.0323E+02,  1.8564E+01,  0.0000E+00,  0.0000E+00,  0.0000E+00
  4.7851E-03,  4.6813E+00,  3.8114E+07,  2.8066E+07,  1.9097E+07,  1.3434E+07,  9.7700E+06,  7.1055E+06,  5.6186E+06,  4.4428E+06,  3.6177E+06,  2.5436E+06,  1.5485E+06,  9.4274E+05,  5.7531E+05,  3.5109E+05,  2.2253E+05,  1.4105E+05,  8.6437E+04,  5.2969E+04,  3.1151E+04,  1.8320E+04,  9.6920E+03,  5.1273E+03,  2.4593E+03,  1.1796E+03,  4.4716E+02,  1.6948E+02,  1.4154E+01,  0.0000E+00,  0.0000E+00,  0.0000E+00
  4.8839E-03,  4.7743E+00,  3.9683E+07,  2.9590E+07,  2.0345E+07,  1.4306E+07,  1.0288E+07,  7.3980E+06,  5.7842E+06,  4.5224E+06,  3.6434E+06,  2.5108E+06,  1.4930E+06,  8.8782E+05,  5.3954E+05,  3.2788E+05,  2.0374E+05,  1.2660E+05,  7.6732E+04,  4.6508E+04,  2.7452E+04,  1.6204E+04,  8.5220E+03,  4.4818E+03,  2.1544E+03,  1.0356E+03,  3.7883E+02,  1.3856E+02,  1.0802E+01,  0.0000E+00,  0.0000E+00,  0.0000E+00
  4.9872E-03,  4.8783E+00,  4.0210E+07,  3.0059E+07,  2.0714E+07,  1.4513E+07,  1.0339E+07,  7.3649E+06,  5.6962E+06,  4.4056E+06,  3.5017E+06,  2.3364E+06,  1.3635E+06,  7.9575E+05,  4.8239E+05,  2.9243E+05,  1.7907E+05,  1.0965E+05,  6.5706E+04,  3.9374E+04,  2.3216E+04,  1.3688E+04,  7.2219E+03,  3.8102E+03,  1.8208E+03,  8.7015E+02,  3.0704E+02,  1.0832E+02,  7.6756E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  5.0943E-03,  4.9929E+00,  4.1697E+07,  3.1131E+07,  2.1434E+07,  1.4942E+07,  1.0546E+07,  7.4434E+06,  5.6921E+06,  4.3529E+06,  3.4069E+06,  2.1860E+06,  1.2530E+06,  7.1819E+05,  4.3454E+05,  2.6292E+05,  1.5883E+05,  9.5954E+04,  5.6802E+04,  3.3625E+04,  1.9760E+04,  1.1612E+04,  6.1705E+03,  3.2788E+03,  1.5467E+03,  7.2962E+02,  2.4814E+02,  8.4376E+01,  5.6155E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  5.2045E-03,  5.1197E+00,  4.0151E+07,  2.9573E+07,  2.0143E+07,  1.3867E+07,  9.6503E+06,  6.7156E+06,  5.0335E+06,  3.7727E+06,  2.9127E+06,  1.8421E+06,  1.0470E+06,  5.9514E+05,  3.6082E+05,  2.1876E+05,  1.2993E+05,  7.7174E+04,  4.5799E+04,  2.7179E+04,  1.5863E+04,  9.2582E+03,  4.9304E+03,  2.6256E+03,  1.2455E+03,  5.9082E+02,  1.9328E+02,  6.3215E+01,  3.0491E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  5.3172E-03,  5.2594E+00,  3.8414E+07,  2.7853E+07,  1.8734E+07,  1.2716E+07,  8.7099E+06,  5.9660E+06,  4.3716E+06,  3.2034E+06,  2.4368E+06,  1.5195E+06,  8.5642E+05,  4.8268E+05,  2.9338E+05,  1.7832E+05,  1.0393E+05,  6.0579E+04,  3.6087E+04,  2.1497E+04,  1.2449E+04,  7.2093E+03,  3.8470E+03,  2.0528E+03,  9.8073E+02,  4.6854E+02,  1.4722E+02,  4.6245E+01,  1.5441E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
