'*',    74,     1,    32,    37,     3,    32,    -1,     0
'SPENVIS 4.6.14.3582          - 28-Mar-2026 17:38:38'
'PRJ_DEF', -1,'RADIATION'
'PRJ_HDR', -1,'Orbital Radiation(SSO)'
'MOD_ABB', -1,'TRP'
'MIS_PLA',  1,    3,' '
'MIS_NTR',  1,    1,' '
'MIS_STA',  1,  27759.00000000,' '
'MIS_END',  1,  28124.00000000,' '
'MIS_DUR',  1, 3.650000E+02,'days'
'ORB_HDR', -1,' '
'ORB_TYP', -1,'GEN'
'ORB_MJD',  1,  27759.00000000,' '
'ORB_YEA',  1, 2026,' '
'ORB_MON',  1,  1,' '
'ORB_DAY',  1,  1,' '
'ORB_HOU',  1,  0,' '
'ORB_MIN',  1,  0,' '
'ORB_SEC',  1,  0.0,' '
'ORB_APO',  1, 3.000000E+03,'km'
'ORB_PER',  1, 3.000000E+03,'km'
'ORB_INC',  1,    55.00,'deg'
'ORB_RAA',  1,     0.00,'deg'
'ORB_ARG',  1,     0.00,'deg'
'ORB_TRA',  1,     0.00,'deg'
'ORB_PRD',  1, 2.507759E+00,'hrs'
'ORB_DUR',  1, 1.000000E+00,'days'
'ORB_TSE',  1,  28124.00000000,' '
'ORB_AXM',  1,  2,' '
'ORB_MJR', -1,'1 Jan 1950, 00:00 UT'
'ORB_GDR', -1,'Astron. J. 66, 15, 1961'
'TRP_MOD', -1,'AE-8 MIN'
'TRP_OMN',  1,  1,' '
'ENERGY', 30,   0.04,   0.10,   0.20,   0.30,   0.40,   0.50,   0.60,   0.70,   0.80,   1.00,   1.25,   1.50,   1.75,   2.00,   2.25,   2.50,   2.75,   3.00,   3.25,   3.50,   3.75,   4.00,   4.25,   4.50,   4.75,   5.00,   5.50,   6.00,   6.50,   7.00,'MeV'
'PS Annotation',  8,  2
'Mission start: 01/01/2026 00:00:00'
 0.05, 0.00, 0.00
'Mission end: 01/01/2027 00:00:00'
 0.95, 0.00, 1.00
'Nr. of segments:   1'
 0.05, 1.50, 0.00
'Duration: 365.00 days'
 0.95, 0.00, 1.00
'PS Annotation', 24,  1
'Segment  1:'
 0.05, 2.00, 0.00
'Apogee: 3000.0 km'
 0.05, 1.50, 0.00
'Perigee: 3000.0 km'
 0.50, 0.00, 0.50
'Inclination: 55.0 deg'
 0.95, 0.00, 1.00
'R.A. Asc. Node: 0.0 deg'
 0.05, 1.50, 0.00
'Arg. Per.: 0.0 deg'
 0.50, 0.00, 0.50
'True Anomaly: 0.0 deg'
 0.95, 0.00, 1.00
'Period: 2.51 hrs'
 0.05, 1.50, 0.00
'Duration: 1.00 days'
 0.50, 0.00, 0.50
'9.57 Orbits'
 0.95, 0.00, 1.00
'Orbit start: 01/01/2026 00:00:00'
 0.05, 1.50, 0.00
'Orbit end: 02/01/2026 00:00:00'
 0.95, 0.00, 1.00
'PS Annotation',  2,  0
'Trapped electron model: AE-8 MIN'
 0.05, 2.00, 0.00
'B','Gauss', 1,'!8B!3'
'L','!8R!3!dE!n', 1,'!8L!3'
'Flux','cm!u-2!n s!u-1!n', 30,'AE-8 MIN Integral Flux >','ENERGY'
  1.0182E-01,  1.5721E+00,  7.4753E+07,  5.1556E+07,  1.9170E+07,  8.5534E+06,  4.5798E+06,  2.4522E+06,  1.6485E+06,  1.1082E+06,  7.8726E+05,  4.4363E+05,  2.7504E+05,  1.7052E+05,  1.1330E+05,  7.5287E+04,  4.8991E+04,  3.1880E+04,  1.1646E+04,  4.2541E+03,  1.3204E+03,  4.0982E+02,  1.2710E+02,  3.9420E+01,  1.1574E+01,  3.3983E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  1.0427E-01,  1.6004E+00,  6.8195E+07,  4.6362E+07,  1.6654E+07,  7.2312E+06,  3.7950E+06,  1.9917E+06,  1.3212E+06,  8.7644E+05,  6.1535E+05,  3.3980E+05,  2.0717E+05,  1.2631E+05,  8.2825E+04,  5.4313E+04,  3.4632E+04,  2.2083E+04,  8.0184E+03,  2.9116E+03,  9.3261E+02,  2.9873E+02,  9.5585E+01,  3.0585E+01,  9.0022E+00,  2.6497E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  1.0695E-01,  1.6333E+00,  5.9384E+07,  3.9722E+07,  1.3803E+07,  5.7952E+06,  2.9399E+06,  1.4914E+06,  9.6680E+05,  6.2672E+05,  4.3317E+05,  2.3527E+05,  1.4196E+05,  8.5660E+04,  5.4575E+04,  3.4771E+04,  2.1717E+04,  1.3564E+04,  4.9052E+03,  1.7739E+03,  5.9003E+02,  1.9626E+02,  6.5269E+01,  2.1706E+01,  6.2758E+00,  1.8145E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  1.0981E-01,  1.6712E+00,  5.1905E+07,  3.4087E+07,  1.1431E+07,  4.6236E+06,  2.2559E+06,  1.1007E+06,  6.9476E+05,  4.3853E+05,  2.9767E+05,  1.5861E+05,  9.4570E+04,  5.6386E+04,  3.4748E+04,  2.1413E+04,  1.3058E+04,  7.9633E+03,  2.8662E+03,  1.0316E+03,  3.5836E+02,  1.2449E+02,  4.3246E+01,  1.5024E+01,  4.2556E+00,  1.2055E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  1.1280E-01,  1.7142E+00,  4.4210E+07,  2.8615E+07,  9.1309E+06,  3.5194E+06,  1.6386E+06,  7.6292E+05,  4.6828E+05,  2.8743E+05,  1.9152E+05,  1.0020E+05,  5.8752E+04,  3.4449E+04,  2.0169E+04,  1.1809E+04,  7.0058E+03,  4.1563E+03,  1.5103E+03,  5.4878E+02,  1.9977E+02,  7.2720E+01,  2.6474E+01,  9.6383E+00,  2.6146E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  1.1591E-01,  1.7627E+00,  3.5243E+07,  2.2520E+07,  6.6846E+06,  2.4124E+06,  1.0585E+06,  4.6448E+05,  2.7761E+05,  1.6592E+05,  1.0874E+05,  5.6149E+04,  3.2072E+04,  1.8320E+04,  9.8131E+03,  5.2564E+03,  3.0192E+03,  1.7342E+03,  6.5871E+02,  2.5021E+02,  9.5398E+01,  3.6373E+01,  1.3853E+01,  5.2760E+00,  1.3092E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  1.1907E-01,  1.8166E+00,  2.7561E+07,  1.7211E+07,  4.7384E+06,  1.5955E+06,  6.5704E+05,  2.7058E+05,  1.5764E+05,  9.1839E+04,  5.8981E+04,  2.9561E+04,  1.6190E+04,  8.8674E+03,  4.3760E+03,  2.1595E+03,  1.1935E+03,  6.5961E+02,  2.6131E+02,  1.0352E+02,  4.1591E+01,  1.6710E+01,  6.6292E+00,  2.6299E+00,  1.0433E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  1.2227E-01,  1.8769E+00,  2.0475E+07,  1.2293E+07,  3.1395E+06,  9.8687E+05,  3.8181E+05,  1.4772E+05,  8.4488E+04,  4.8324E+04,  3.0205E+04,  1.4093E+04,  7.1303E+03,  3.6075E+03,  1.6943E+03,  7.9577E+02,  4.1820E+02,  2.1978E+02,  8.9375E+01,  3.6345E+01,  1.5446E+01,  6.5645E+00,  2.8444E+00,  1.2325E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  1.2546E-01,  1.9428E+00,  1.6322E+07,  9.4047E+06,  2.1976E+06,  6.4528E+05,  2.3809E+05,  8.7851E+04,  4.9778E+04,  2.8206E+04,  1.7215E+04,  7.4396E+03,  3.4008E+03,  1.5546E+03,  7.3370E+02,  3.4627E+02,  1.7495E+02,  8.8395E+01,  3.4784E+01,  1.3688E+01,  5.9562E+00,  2.5919E+00,  1.1278E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
  1.2861E-01,  2.0154E+00,  1.3330E+07,  7.3850E+06,  1.5612E+06,  4.3061E+05,  1.5497E+05,  5.5772E+04,  3.1365E+04,  1.7639E+04,  1.0497E+04,  4.1635E+03,  1.7169E+03,  7.0803E+02,  3.4352E+02,  1.6667E+02,  8.1404E+01,  3.9760E+01,  1.4713E+01,  5.4443E+00,  2.0146E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00,  0.0000E+00
